Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V,,
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c1,inv_snl_c2,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi,inv_cec_date,inv_cec_type
DYNAPOWER_COMPANY_LLC:_MPS-250_[480V],480,3385.984863,248910,261339.5938,475,-9.81E-08,0.000049,0.001367,0.000618,74.673,600,550.188618,350,600,10/15/2018,Grid Support
DYNAPOWER_COMPANY_LLC:_MPS-250HV_[480V],480,3359.384766,249619,259473.375,705,-6.37E-08,0.000025,0.000544,-0.002222,74.8857,830,368.04734,580,830,n/a,Grid Support
Danfoss_Solar:_DLX_2.0_UL_[208V],208,15.23924,2010,2080.984131,365,-6.17E-06,-8.92E-06,0.000089,-0.001756,0.603,490,5.701326,100,490,n/a,Utility Interactive
Danfoss_Solar:_DLX_2.0_UL_[240V],240,16.074654,2010,2071.665283,375,-4.51E-06,-0.000012,0.000397,-0.002024,0.603,490,5.524441,100,490,n/a,Utility Interactive
Danfoss_Solar:_DLX_2.9_UL_[208V],208,17.430653,2910,3026.307129,365,-6.83E-06,-0.000019,0.000416,-0.001461,0.873,490,8.291252,100,490,n/a,Utility Interactive
Danfoss_Solar:_DLX_2.9_UL_[240V],240,18.238911,2900,2996.627686,375,-5.36E-06,-0.000024,0.000383,-0.001797,0.87,490,7.991007,100,490,n/a,Utility Interactive
Danfoss_Solar:_DLX_3.8_UL_[208V],208,18.206839,3810,3956.842285,360,-5.04E-06,-0.000025,0.000629,-0.001681,1.143,500,10.991229,100,500,n/a,Utility Interactive
Danfoss_Solar:_DLX_3.8_UL_[240V],240,19.369219,3810,3940.765625,370,-4.70E-06,-0.000025,0.000884,-0.00146,1.143,500,10.650718,100,500,n/a,Utility Interactive
Danfoss_Solar:_DLX_4.4_UL_[208V],208,18.370371,4400,4584.158203,360,-5.02E-06,-0.000031,0.0008,-0.001581,1.32,500,12.733773,100,500,n/a,Utility Interactive
Danfoss_Solar:_DLX_4.4_UL_[240V],240,19.116625,4400,4560.443848,370,-4.48E-06,-0.00003,0.000557,-0.001959,1.32,500,12.325524,100,500,n/a,Utility Interactive
Danfoss_Solar:_MLX_400V_[400V],400,97.213982,59860,61130.78125,630,-2.06E-07,0.000027,0.002606,0.000501,17.958,800,97.032986,570,800,n/a,Utility Interactive
Danfoss:_MLX_480V_[480V],480,116.969749,60000,60974.64453,710,-1.59E-07,0.000035,0.002813,0.002061,18,800,85.879781,685,800,n/a,Utility Interactive
