"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Gilde Fersk leverpostei150 gram","",150,"",1000,241,20,"6,7","8,5","2,8","5,9","0,9","","","","9,4","1,5","","","","","","","","",""
"Gilde Håndlaget Sylte100 gram","",100,"",836,201,15,"5,8","","",1,"0,4","","","",16,"1,8","","","","","","","","",""
"Gilde Julesylte100 gram","",100,"",994,238,13,"4,5","5,7","1,9","1,2",0,"","","",29,"2,9","","","","","","","","",""
"Gilde original ovnsbakt leverpostei190 gr","",190,"",934,225,19,"6,5","7,8","2,8",5,"1,1","","","","9,1","1,4","","","","","","","","",""
"Gilde skinnfri kjøttpølse450gr","",450,"",921,222,18,"6,2","7,5","2,2","5,5","0,4","","","","9,5","1,7","","","","","","","","",""
"Gilde smårettsskinke200 gr","",200,"",544,130,"5,1","1,7","2,2","0,7","1,9","0,4","","","",19,2,"","","","","","","","",""
"Go Morgen Skogsbær195 gr","",195,"",535,127,"3,4","1,7","","",19,"12,9","","","","4,2","0,1","","","","","","","","",""
"Go Morgen Vanilje m/nøttemix195 gr","",195,"",661,158,"8,8","1,7","","",14,11,"","","","5,5","0,1","","","","","","","","",""
"Godt&Blandet Supersur200 gr","",200,"",1503,356,"0,1","0,1",0,0,86,57,"","","","3,1","0,5","","","","","","","","",""
"Godt&Blandet220 gr","",220,"",1462,347,"0,3","0,2","0,1",0,85,59,0,0,0,0,"0,1","","","","","","","","",""
"Gorbys30 gram","",30,"",983,235,"7,3","1,7","","",33,"4,2","","","2,5","8,1","0,9","","","","","","","","",""
"Grandiosa","","","",910,217,"7,6","4,2","","",26,"2,7","","",0,11,"0,9","","","","","","","","",""
"Grandiosa Hj.laget m/kjøttdeig 1 kgmed kjøttdeig","",1000,"",915,219,"7,6",4,"","",27,"2,7","","",0,10,"0,8","","","","","","","","",""
"Grandiosa Original575 gr","",575,"",910,217,"7,6","4,2","","",26,"2,7","","",0,11,"0,9","","","","","","","","",""
"Grandiosa Pizzarull ost&sk.155 gram","",155,"",950,220,"7,7","3,2","","",26,"0,6","","","",12,"1,2","","","","","","","","",""
"Grillpølser eget merke1 kilo","",1000,"","","","","","","","","","","","","","","","","","","","","","",""
"Grillpølser Gilde600 gr","",600,"",923,222,18,6,"7,5","2,4","5,6","0,4",0,0,0,"9,5","1,8","","","","","","","","",""
"Gräddost380 gram","",380,"",1729,418,38,25,"","",0,0,"","","",19,"1,3","","","","","","","","",""
"Gudbrandsdalsost skivet Tine130 gr","",130,"",1835,441,28,19,"","",35,30,"","","",10,"0,7","","","","","","","","",""
"Gudbrandsdalsost Tine500 gr","",500,"",1835,441,28,19,"","",35,30,"","","",10,"0,7","","","","","","","","",""
