"Fylkesnr_2019","Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","DVH_regioner_2019","SIFO_regioner_2019","SSB"
"06","BUSKERUD","0616","NES (BUSK.)",30,"VIKEN",3040,"NESBYEN","Vestre Østland DVH","Vestre Østland","nesbyen"
"06","BUSKERUD","0617","GOL",30,"VIKEN",3041,"GOL","Vestre Østland DVH","Vestre Østland","gol"
"06","BUSKERUD","0618","HEMSEDAL",30,"VIKEN",3042,"HEMSEDAL","Vestre Østland DVH","Vestre Østland","hemsedal"
"06","BUSKERUD","0619","ÅL",30,"VIKEN",3043,"ÅL","Vestre Østland DVH","Vestre Østland","ål"
"06","BUSKERUD","0620","HOL",30,"VIKEN",3044,"HOL","Vestre Østland DVH","Vestre Østland","hol"
"06","BUSKERUD","0621","SIGDAL",30,"VIKEN",3045,"SIGDAL","Vestre Østland DVH","Vestre Østland","sigdal"
"06","BUSKERUD","0622","KRØDSHERAD",30,"VIKEN",3046,"KRØDSHERAD","Vestre Østland DVH","Vestre Østland","krødsherad"
"06","BUSKERUD","0623","MODUM",30,"VIKEN",3047,"MODUM","Vestre Østland DVH","Vestre Østland","modum"
"06","BUSKERUD","0624","ØVRE EIKER",30,"VIKEN",3048,"ØVRE EIKER","Vestre Østland DVH","Vestre Østland","øvre eiker"
"06","BUSKERUD","0625","NEDRE EIKER",30,"VIKEN",3005,"DRAMMEN","Vestre Østland DVH","Vestre Østland","drammen"
"06","BUSKERUD","0626","LIER",30,"VIKEN",3049,"LIER","Vestre Østland DVH","Vestre Østland","lier"
"06","BUSKERUD","0627","RØYKEN",30,"VIKEN",3025,"ASKER","Vestre Østland DVH","Vestre Østland","asker"
"06","BUSKERUD","0628","HURUM",30,"VIKEN",3025,"ASKER","Vestre Østland DVH","Vestre Østland","asker"
"06","BUSKERUD","0631","FLESBERG",30,"VIKEN",3050,"FLESBERG","Vestre Østland DVH","Vestre Østland","flesberg"
"06","BUSKERUD","0632","ROLLAG",30,"VIKEN",3051,"ROLLAG","Vestre Østland DVH","Vestre Østland","rollag"
"06","BUSKERUD","0633","NORE OG UVDAL",30,"VIKEN",3052,"NORE OG UVDAL","Vestre Østland DVH","Vestre Østland","nore og uvdal"
"07","VESTFOLD","0701","HORTEN",38,"VESTFOLD OG TELEMARK",3801,"HORTEN","Vestre Østland DVH","Vestre Østland","horten"
"07","VESTFOLD","0704","TØNSBERG",38,"VESTFOLD OG TELEMARK",3803,"TØNSBERG","Vestre Østland DVH","Vestre Østland","tønsberg"
"07","VESTFOLD","0710","SANDEFJORD",38,"VESTFOLD OG TELEMARK",3804,"SANDEFJORD","Vestre Østland DVH","Vestre Østland","sandefjord"
"07","VESTFOLD","0711","SVELVIK",30,"VIKEN",3005,"DRAMMEN","Vestre Østland DVH","Vestre Østland","drammen"
