Name,Manufacturer,alpha_sc,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref
Trina_Solar_TSM-265PEG5.47,Trina Solar,0.005704,1.52396,9.21159,1.74E-10,0.259822,206.243912
Trina_Solar_TSM-270DD05A,Trina Solar,0.004984,1.525129,9.330255,9.42E-11,0.376067,440.711456
Trina_Solar_TSM-270DD05A(II),Trina Solar,0.005,1.543436,9.273477,1.17E-10,0.336203,231.008011
Trina_Solar_TSM-270DD05A.05,Trina Solar,0.004984,1.525129,9.330255,9.42E-11,0.376067,440.711456
Trina_Solar_TSM-270DD05A.05(II),Trina Solar,0.005,1.543436,9.273477,1.17E-10,0.336203,231.008011
Trina_Solar_TSM-270DD05A.08,Trina Solar,0.004984,1.525129,9.330255,9.42E-11,0.376067,440.711456
Trina_Solar_TSM-270DD05A.08(II),Trina Solar,0.005,1.543436,9.273477,1.17E-10,0.336203,231.008011
Trina_Solar_TSM-270PA05A,Trina Solar,0.004565,1.604471,9.143959,3.36E-10,0.210168,137.459625
Trina_Solar_TSM-270PA05A.08,Trina Solar,0.004565,1.604471,9.143959,3.36E-10,0.210168,137.459625
Trina_Solar_TSM-270PA05A.10,Trina Solar,0.004565,1.604471,9.143959,3.36E-10,0.210168,137.459625
Trina_Solar_TSM-270PA05A.18,Trina Solar,0.004565,1.604471,9.143959,3.36E-10,0.210168,137.459625
Trina_Solar_TSM-270PA14,Trina Solar,0.004974,1.923907,8.315133,7.83E-10,0.425865,140.466141
Trina_Solar_TSM-270PA14.05,Trina Solar,0.004145,1.820048,8.319157,2.10E-10,0.45393,129.063858
Trina_Solar_TSM-270PA14.08,Trina Solar,0.00495,1.916832,8.27095,7.35E-10,0.42623,167.847549
Trina_Solar_TSM-270PA14.0x2,Trina Solar,0.004974,1.923907,8.315133,7.83E-10,0.425865,140.466141
Trina_Solar_TSM-270PA14.10,Trina Solar,0.004974,1.923907,8.315133,7.83E-10,0.425865,140.466141
Trina_Solar_TSM-270PA14.18,Trina Solar,0.004974,1.923907,8.315133,7.83E-10,0.425865,140.466141
Trina_Solar_TSM-270PA14.20,Trina Solar,0.004974,1.923907,8.315133,7.83E-10,0.425865,140.466141
Trina_Solar_TSM-270PA14.28,Trina Solar,0.00495,1.916832,8.27095,7.35E-10,0.42623,167.847549
Trina_Solar_TSM-270PD05,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.001,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.002,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.00C,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.00D,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.00M,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.00S,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.00U,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.05,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.051,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.052,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.05C,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.05D,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.05M,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.05S,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.05U,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.08,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.081,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.082,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.08C,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.08D,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.08M,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.08S,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.08U,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.10,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.10C,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.10D,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.15,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.15C,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.15D,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.18,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.18C,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD05.18D,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PD14.08,Trina Solar,0.00495,1.916832,8.27095,7.35E-10,0.42623,167.847549
Trina_Solar_TSM-270PD14.0x2,Trina Solar,0.004974,1.923907,8.315133,7.83E-10,0.425865,140.466141
Trina_Solar_TSM-270PD14.10,Trina Solar,0.004974,1.923907,8.315133,7.83E-10,0.425865,140.466141
Trina_Solar_TSM-270PD14.18,Trina Solar,0.004974,1.923907,8.315133,7.83E-10,0.425865,140.466141
