"United States","Medical Care Facilities","TVTY","Tivity Health Inc"
"United States","Diagnostics & Research","TWST","Twist Bioscience Corp"
"United States","Health Information Services","TXG","10X Genomics Inc"
"United States","Medical Care Facilities","UHS","Universal Health Services Inc"
"United States","Healthcare Plans","UNH","UnitedHealth Group Inc"
"United States","Biotechnology","UTHR","United Therapeutics Corp"
"United States","Biotechnology","VCEL","Vericel Corp"
"United States","Biotechnology","VCYT","Veracyte Inc"
"United States","Health Information Services","VEEV","Veeva Systems Inc"
"Sweden","Medical Devices","VITR.ST","Vitrolife AB"
"United States","Diagnostics & Research","VIVO","Meridian Bioscience Inc"
"United States","Medical Devices","VREX","Varex Imaging Corp"
"United States","Diagnostics & Research","WAT","Waters Corp"
"United States","Medical Instruments & Supplies","WST","West Pharmaceutical Services Inc"
"United States","Biotechnology","XLRN","Acceleron Pharma Inc"
"United States","Biotechnology","XNCR","Xencor Inc"
"United States","Medical Instruments & Supplies","XRAY","DENTSPLY SIRONA Inc"
"United States","Medical Devices","ZBH","Zimmer Biomet Holdings Inc"
"United States","Biotechnology","ZGNX","Zogenix Inc"
"United States","Biotechnology","ZNTL","Zentalis Pharmaceuticals Inc"
"United States","Drug Manufacturers—Specialty & Generic","ZTS","Zoetis Inc"
"Denmark","Biotechnology","alk-b.co","ALK-Abello A/S"
"Denmark","Medical Instruments & Supplies","ambu-b.co","Ambu A/S"
"United States","Medical Devices","bio","Bio-Rad Laboratories Inc"
"United States","Biotechnology","dyn","Dyne Therapeutics Inc"
"Germany","Drug Manufacturers—Specialty & Generic","evt.de","Evotec SE"
"United States","Drug Manufacturers—Specialty & Generic","pahc","Phibro Animal Health Corp"
"United States","Biotechnology","vir","Vir Biotechnology Inc"
"United States","Biotechnology","vrtx","Vertex Pharmaceuticals Inc"
"United States","Drug Manufacturers—Specialty & Generic","vtrs","Viatris Inc"
"Denmark","Biotechnology","zeal.co","Zealand Pharma A/S"
"country","industry","ticker","virksomhed"
"United States","Airports & Air Services","AAWW","Atlas Air Worldwide Holdings Inc"
"Ireland","Auto Parts","ADNT","Adient PLC"
"Ireland","Airports & Air Services","AER","AerCap Holdings NV"
"United States","Auto Parts","ALSN","Allison Transmission Holdings Inc"
"Sweden","Auto Parts","ALV","Autoliv Inc"
"Ireland","Auto Parts","APTV","Aptiv PLC"
"United States","Packaging & Containers","ATR","AptarGroup Inc"
"United States","Auto Parts","AXL","American Axle & Manufacturing Holdings Inc"
"United States","Packaging & Containers","BERY","Berry Global Group Inc"
"United States","Packaging & Containers","BLL","Ball Corp"
"Germany","Auto Manufacturers","BMW.DE","Bayerische Motoren Werke AG"
"United States","Auto Parts","BWA","BorgWarner Inc"
"United States","Packaging & Containers","CCK","Crown Holdings Inc"
"United States","Integrated Freight & Logistics","CHRW","CH Robinson Worldwide Inc"
"Germany","Auto Parts","CON.DE","Continental AG"
"United States","Railroads","CSX","CSX Corp"
"Germany","Auto Manufacturers","DAI.DE","Daimler AG"
