"Produkter","Verdi_andel_Tallene er inkl. 15 % mva","Salg_i_verdi_1000_NOK_2018","Salg_i_verdi_1000_NOK_2019","Endring_i_%_fra_2018_til_2019","Type","Sum","Lookup_navn","Norsk_2018","Import_2018","Total_2018","Norsk_2019","Import_2019","Total_2019","Endring_2018-2019","Endring_2020-2019_gjennomsnitt","Kg_pr_capita_i_2019","Overordnet_type","Oprindeligt_navn","Folketallet_gjennemsnit_2019","Kg_pr_capita_i_2019__1"
"Neper",7.1,70069,88944,26.9,"Rotvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Frø_ og belgvekster",100,146633,159804,9,"Frø_ og belgvekster","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Sukkererter",80,115075,127856,11.1,"Frø_ og belgvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Spirer",12.6,10362,8446,-18.5,"Frø_ og belgvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Bønner",5.3,16739,20092,20,"Frø_ og belgvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Mais",2.1,4428,3403,-23.2,"Frø_ og belgvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Frø_og belgvekster øvrige",0,29,7,-75.6,"Frø_ og belgvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Urter friske",100,226597,237227,4.7,"Urter friske","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Basilikum",20.5,45683,48708,6.6,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Koriander",16.6,34462,39367,14.2,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Kruspersille",13.4,30915,31769,2.8,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Dill",11.4,26540,27069,2,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Oregano",9.7,10730,10573,-1.5,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Timian",5.9,5479,5413,-1.2,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Bladpersille",6.2,13370,14614,9.3,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Urter øvrige",4.5,13427,13973,4.1,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Rosmarin",4.4,10206,10446,2.3,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Mynte",3.5,8139,8188,0.6,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Sitronmelisse",1.7,6810,4077,-40.1,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Gressløk",2.3,20835,23031,10.5,"Urter friske","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Sopp",100,209927,219508,4.6,"Sopp","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Sjampinjong",82.6,172386,181260,5.1,"Sopp","Enhed","Sjampinjong",0,7722,7722,0,7843,7843,0.016,0.026,1.5,"Grønnsaker","Sjampinjong og annen sopp",5347896,1.47
"Aromasopp",8.8,17065,19313,13.2,"Sopp","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Kantarell",5.8,14286,12642,-11.5,"Sopp","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Sopp øvrige",1.5,3238,3400,5,"Sopp","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Østerssopp",1.3,2953,2894,-2,"Sopp","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Stengelvekster",100,177731,207093,16.5,"Stengelvekster","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
