"Klokkeslaet","01._Bibliotek_(gnt_af_51_stk)","02._Doegninstitioner__(gnt_af_50_stk)","03._Daginstitutioner_(gnt_af_160_stk)","04._Folkeskoler_(gnt_af_582_stk)","05._Forsyningsanlaeg_(gnt_af_174_stk)","06._Camping_(Hytter/Telte)","07._Vandvaerk","08._Handel/service_(gnt_af_17_stk)","09._Hospitaler_(gnt_af_32_stk)","10._Hoteller_(gnt_af_7_stk)","11._Hustand_","12._Hustand_","13._Hustand_","14._Boligforening","15._Internatskoler/kursuscentre_(gnt_af_39_stk)","16._IT-Service_(gnt_af_21_stk)","17._Kontorer/administration_(gnt_af_322_stk)","18._Laboratorier_(gnt_af_11_stk)","19._Landmand_Kvaeg_og_maelk","20._Museér,_udstillinger_m._v._(gnt_af_23_stk)","21._Plejehjem_(gnt_af_229_stk)","22._Produktioner_(gnt_af_36_stk)","23._Restauranter_(gnt_af_8_stk)","24._Serverrum_(gnt_af_14_stk)","25._Sportsanlaeg_(gnt_af_135_stk)","26._Supermarkeder_(gnt_af_55_stk)","27._Togstationer_(gnt_af_67_stk)","28._Videregående_udd.institutioner_(gnt_af_62_stk)","29._Voksenundervisning_(gnt_af_12_stk)","30._Vaerksteder_(gnt_af_23_stk)"
"2020-01-02 13:00",258.0862808,42.5551796,10.64450002,42.5551796,71.51566124,4.336999893,229.0399933,93.69864655,669.5527954,21.35385752,49.53,1.4,"",27,65.83384705,378.1425171,78.74442291,135.5018196,29.8,56.57652092,43.14224911,107.2941666,23.85099983,129.2192078,47.71199989,95.33132935,13.15865684,355.7913361,23.3770833,64.49743462
"2020-01-02 14:00",253.4804726,38.67450047,9.80069375,38.67450047,71.10832214,4.616000175,163.3999939,87.65958405,626.192749,20.35071468,49.83,1.66,"",26,63.19723034,371.7569885,73.59301949,133.2087288,32.8,55.1336956,33.63685608,110.6549454,21.36775017,129.8562927,50.2892437,94.07112885,13.33874607,338.7784576,20.53083324,64.47821903
"2020-01-02 15:00",246.616703,33.36789989,8.859618664,33.36789989,70.87792397,4.717000008,236.3200073,82.28752899,563.7194824,19.03657055,54.97,1.71,"",24,63.97805119,360.8328552,65.3390255,124.6391792,41.3,53.75139236,28.70210028,97.26239014,20.19400024,128.9304199,53.16004467,92.38391113,14.36659694,318.9154816,18.52474976,44.70965195
"2020-01-02 16:00",235.4538841,34.21098042,7.359375,34.21098042,70.06370735,5.199999809,268.3599854,78.30682373,512.7723389,19.99928522,66.74,1.73,"",20,63.11207581,337.8180542,53.29432774,110.9451847,52.3,39.73708725,28.60546732,89.55188751,18.15600014,126.2516403,57.51609612,90.84432983,18.40408897,287.8139877,16.37108374,33.96360779
"2020-01-02 17:00",223.4678421,35.18137932,6.115618825,35.18137932,69.87832832,6.210000038,276.8800049,74.87358856,468.3956604,19.77571344,71.33,1.69,"",14,54.16566658,312.4541016,44.82503319,102.8512726,48.1,33.98760986,26.29517937,84.83016968,17.31799889,124.6611404,59.90724468,88.11520386,18.1544776,256.5455856,16.58116674,32.91860771
"2020-01-02 18:00",186.6116066,33.65871906,5.456731319,33.65871906,71.11366272,6.227000237,284.7200012,70.07317352,442.2962036,19.56328583,72.54,1.73,"",15,50.51141071,298.0057983,39.59821987,97.75145531,48.3,26.75165224,26.54028845,82.88894653,17.90225029,124.510643,60.36973286,86.45742035,17.97834349,239.5050926,16.18258333,30.38773966
"2020-01-02 19:00",144.4623528,32.36552048,5.27472496,32.36552048,72.23656845,6.130000114,204.7200012,67.27235413,419.1757813,19.62871408,65.99,1.71,"",19,47.68130779,290.9449463,36.88502789,96.75245667,41.5,25.07121706,25.08260202,76.85436249,18.38425064,123.8421402,59.66338539,83.93170929,17.82307482,226.3749657,15.31816673,29.70226097
"2020-01-02 20:00",132.2858009,30.55557966,4.943043709,30.55557966,73.40987968,6.021999836,235.1199951,65.21617889,397.791687,17.86257219,57.31,1.92,"",13,46.38559055,281.948761,35.37377834,93.53954697,42.1,23.64208698,23.26977301,75.70246887,18.30624962,124.1866455,54.99831104,68.04514313,17.63913488,217.3551102,13.91541672,31.66234779
"2020-01-02 21:00",114.4528637,27.40787983,4.570599914,27.40787983,70.4293499,5.985000134,287.5599976,64.97264862,388.8240967,16.27228522,49.54,2.99,"",14,44.21571732,279.204895,34.49525356,93.82800102,39.2,24.18017387,21.92233229,81.36333466,16.87649918,124.4147186,45.83954811,56.8323822,17.26329899,212.7088051,11.31483316,32.06926107
"2020-01-02 22:00",103.5469818,24.79252052,4.213112473,24.79252052,67.64970779,5.44299984,180.8000031,62.93435287,369.7812805,14.69099998,45.05,1.85,"",13,42.26205158,276.6904297,33.15674591,92.75399971,38.3,21.27739143,19.63576841,77.10202789,12.54749966,123.8969269,33.5491991,53.43258286,16.54304457,205.1784668,10.96033311,32.29999924
"2020-01-02 23:00",98.31521797,22.82567978,4.036468744,22.82567978,67.12745476,5.381000042,153,61.27235413,351.7854309,13.88000011,35.04,1.67,"",13,38.06835842,273.9622803,31.95733404,92.16963768,29.7,21.55886936,17.68493032,84.25930786,9.562000275,123.4387131,25.80061483,54.95065308,16.24101543,197.5017281,10.54824996,30.84917355
"2020-01-03 00:00",92.63411903,21.7580595,3.828568697,21.7580595,66.71656799,4.850999832,135.8800049,60.59500122,341.0439453,13.14628553,31.02,1.68,"",14,36.45846176,271.8910828,31.4161706,92.71172714,30,21.72921705,17.15885544,78.82344818,8.21475029,122.469574,23.26792574,56.25310898,16.09822369,193.5363426,10.06783342,30.70478201
"2020-01-03 01:00",90.0508213,21.73360014,3.7400437,21.73360014,64.83811569,5.453999996,127.4000015,58.08399963,333.1452332,12.51242876,29.73,1.69,"",13,34.01294899,271.571228,31.16990137,92.99109077,38,21.17873955,16.59070778,74.83763885,7.013750076,122.8363571,22.41835594,59.61938095,15.32025409,191.9775009,11.0150001,32.05234814
"2020-01-03 02:00",90.52062798,20.52975988,3.712693751,20.52975988,64.41362762,5.025000095,207.8399963,58.26382446,330.83078,12.66414309,26.82,1.63,"",13,34.14966679,272.8848877,31.44734097,93.12572479,33.7,22.19760942,16.42843246,76.80547333,6.661999702,123.2742157,22.30935574,65.27012634,11.53274632,191.9120598,10.48766661,35.12547874
"2020-01-03 03:00",97.00815582,20.52176046,3.829106212,20.52176046,63.20167732,5.065000057,141.8399963,57.33811951,329.0661926,12.89742827,29.02,1.61,"",14,34.86156368,270.7982483,31.99166775,92.11536407,30,20.94969559,16.18342829,70.41833496,6.982249737,123.2730026,22.42958546,72.36345673,12.0154922,192.4690132,11.04524994,34.72826099
"2020-01-03 04:00",105.4923153,19.92472029,4.111937523,19.92472029,64.8404541,4.999000072,172.3999939,57.09035492,337.1941223,12.42814302,28.79,1.63,"",13,37.33871841,272.8550415,33.86394215,92.82936478,27.4,20.99547863,16.65941525,68.09752655,7.960999966,123.1244278,23.55188894,77.5161972,15.73713422,196.5992241,11.18424988,32.02530479
"2020-01-03 05:00",128.2233715,21.0743804,5.183793783,21.0743804,63.9230175,5.118999958,152.8399963,61.55023575,384.9870605,14.60985708,37.04,1.67,"",14,40.07289696,284.4300842,38.37202835,94.4857254,32.2,22.26130438,19.01345444,72.86802673,8.876749992,123.0464249,27.62100744,78.71283722,18.64201403,213.642952,12.2164166,33.54752159
"2020-01-03 06:00",157.260231,28.08845997,7.770168781,28.08845997,66.04331589,5.56799984,197.2400055,70.49529266,499.1740417,20.60314274,41.95,1.67,"",15,55.17630768,307.2014771,49.85216618,102.6122723,44.2,27.79543495,28.06786919,81.98325348,10.32975006,123.7308578,37.37087345,87.48283386,18.6870451,241.860939,18.36483335,44.02452278
"2020-01-03 07:00",185.9358444,40.20283985,10.14446878,40.20283985,72.27621078,5.346000195,178.9199982,87.18835449,612.0980225,26.94642878,40.56,1.71,"",18,66.11410332,324.6548462,66.64420509,117.3305473,50.7,35.20126057,44.00677204,99.58041382,16.33024979,124.6719971,43.86471081,99.73622131,18.7580452,289.1348801,31.70549965,62.22799873
"2020-01-03 08:00",234.3973351,47.56024075,12.76494384,47.56024075,74.42279434,5.203000069,225.7200012,93.39676666,692.1948242,26.72714329,43.7,2.68,"",25,72.30628204,367.6628418,81.05127335,131.9302711,48.9,50.48817444,47.58026981,110.5028305,16.65724945,125.7125015,46.9916954,100.9454193,17.7640748,341.7742386,39.98408318,70.17556572
"2020-01-03 09:00",259.9305038,51.21114063,13.64073133,51.21114063,74.5445919,6.818999767,250.7599945,98.73905945,699.2540894,25.88714314,47.92,1.89,"",26,77.59784508,382.3355103,86.48009491,142.6994553,50.8,56.77686882,50.89993382,112.9236908,19.40074921,127.7395706,48.7429924,99.11550903,14.17541766,368.9242859,41.77183247,73.21147728
"2020-01-03 10:00",268.9569473,51.91892052,14.30033755,51.91892052,75.14710426,5.762000084,198.1199951,97.92370605,713.3116455,28.16157103,53.04,1.73,"",27,82.56459045,381.7278442,87.22335815,147.0207253,38.1,64.62182808,55.01377201,122.6589966,28.28287506,127.7883606,50.41242218,97.35532379,13.99089575,376.2661438,42.01433277,73.76869583
"2020-01-03 11:00",269.7675247,51.36440086,14.12658119,51.36440086,79.00271225,4.907999992,152.1600037,95.34282684,698.5773926,29.73871422,51.45,1.71,"",28,81.71694946,382.1279602,86.86192894,149.024456,34.2,67.14643478,51.37460709,121.031723,25.40450096,126.5135727,48.34922123,95.90734863,13.80126858,382.0753555,42.62191677,71.42660904
"2020-01-03 12:00",268.7822037,48.0335598,14.14012504,48.0335598,87.69676971,5.046000004,282.5599976,101.8496475,698.4833374,26.07200003,46.41,1.66,"",28,78.62228203,384.6335144,87.22205925,145.9199104,31.6,66.63917542,46.6825676,118.27108,24.28750038,126.9337845,48.45969582,92.54858398,14.31895494,381.4694595,40.11083317,69.52843285
"2020-01-03 13:00",270.7952118,46.92044067,13.25880647,46.92044067,93.61275482,12.09500027,339.7200012,100.9168854,705.2178345,25.60128546,48.3,1.69,"",27,79.24515343,379.445282,84.24964142,148.7816315,27.9,68.81926155,44.71828842,112.5462494,24.09149933,126.3620758,49.12082195,91.46389008,14.52437329,378.173912,36.52966595,69.69834518
"2020-01-03 14:00",270.5355988,42.17134094,12.0858438,42.17134094,98.70593643,5.423999786,190.7599945,95.17982483,659.0762939,23.66428566,50.02,1.66,"",26,76.28151131,368.2223206,79.03707695,143.0630913,31,67.65608597,34.92176819,121.3686981,23.04125023,126.1247864,51.55741501,90.36183929,16.32861137,361.6504974,32.85691643,65.44226074
"2020-01-03 15:00",259.1950531,37.68150043,10.41308737,37.68150043,96.44587326,5.170000076,138.1199951,88.87417603,585.4175415,20.56814194,54.51,1.67,"",22,71.51792145,358.6783752,69.76208115,132.388092,41,65.17112923,30.71826649,122.0330582,19.26725006,126.0291443,56.47506714,88.62911224,17.92134333,334.6610184,29.03641701,53.16121674
