"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Helmelk_Tine1_liter","","",1000,264,63,"3,5","2,3","","","4,5","4,5","","","","3,4","0,1","","","","","","","","",""
"Hobby48_gram","",48,"",1550,370,"9,4","5,6","","",64,57,"","","","3,7","0,1","","","","","","","","",""
"Hodekål/Sommerkål1_kg","",1000,"",137,32,"0,1",0,0,0,"5,2",0,"","0,1","2,6","1,4",0,"","","","","","","","",""
"Hollandaisesaus26_gram","",26,"",1665,395,"9,7","0,9","","","64,9","22,9","","",1,"11,4",5,"","","","","","","","",""
"Hvetemel2_kg","",2000,"",1433,338,"1,6","0,4","0,2","0,2","67,9","2,7","","","3,6","11,2",0,"","","","","","","","",""
"Hvetetortillas326_gr_(8_lefser)","",326,"",1264,299,"5,2","1,2",0,0,"53,2","2,1",0,0,"3,7","9,1",1,"","","","","","","","",""
"Hvit_julepølse","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hvit_saus","","","",251,60,"1,4","0,8","","","7,8","4,7","","","0,1","3,8","0,7","","","","","","","","",""
"Hvitost_eget_merke1000_gram","",1000,"","","","","","","","","","","","","","","","","","","","","","",""
"Håndsåpe_Lano_Refill300_ml","","",300,"","","","","","","","","","","","","","","","","","","","","",""
"Idun_Ketchup530_gr","",530,"",391,93,0,0,"","",21,18,"","",0,"1,7","1,7","","","","","","","","",""
"Idun_Sennep490_gr","",490,"",462,111,"3,6",0,"","",15,12,"","",0,"3,8","0,7","","","","","","","","",""
"IFA_saltpastiller","","","",830,200,"0,4","0,3","","",49,47,"","","","0,9","1,8","","","","","","","","",""
