"Ticker","SPAC Company","Price","Target","Pro Forma Market Cap (at $10)","Expected Net Cash (Debt) at Closing (with no redemptions)","Pro Forma Enterprise Value at $10","Pro Forma Market Cap at Current Price","PIPE Size","2019 Revenue","2020 Revenue","2021 Revenue Projection","2022 Revenue Projection","2023 Revenue Projection","2020 Growth (Decline)","2021 Growth (Decline)","2022 Growth (Decline)","2023 Growth (Decline)","2021 Price-to-Sales Multiple","2022 Price-to-Sales Multiple","Investor Presentation","Links"
"SFTW","Osprey Technology Acq. Corp.","$10.70","BlackSky","$1,477.0","$371.0","$1,106.0","$1,580.4","$180.0","$15.0","$22.0","$46.0","$114.0","$223.0","46.70 %","109.10 %","147.80 %","95.60 %",34.36,13.86,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1753539/000119312521047044/d135867dex992.htm"
"THCB","Tuscan Holdings Corp.","$12.48","Microvast","$3,005.0","$601.0","$2,404.0","$3,750.2","$482.5","$76.4","$101.0","$230.0","$460.0","$874.0","32.10 %","127.70 %","100.00 %","90.00 %",16.31,8.15,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1760689/000121390021005602/ea134295ex99-2_tuscanhold.htm"
"TSIA","TS Innovation Acq. Corp.","$10.99","Latch","$1,558.0","$505.0","$1,053.0","$1,712.2","$190.0","$15.0","$18.0","$49.0","$173.0","$368.0","20.00 %","172.20 %","253.10 %","112.70 %",34.94,9.9,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1826000/000119312521015400/d73403dex992.htm"
"ANDA","Andina Acq. Corp. III","$10.27","Stryve Foods","$214.0","$45.0","$169.0","$219.8","$53.0","$13.0","$18.0","$51.0","$103.0","","38.50 %","183.30 %","102.00 %","-",4.31,2.13,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1691936/000149315221001955/ex99-1.htm"
"STPK","Star Peak Energy Transition Corp.","$27.40","Stem","$1,354.0","$525.0","$829.0","$3,710.0","$225.0","$17.6","$35.5","$147.0","$315.0","$526.0","102.30 %","314.10 %","114.30 %","67.00 %",25.24,11.78,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1758766/000110465921006781/tm212894d3_425.htm"
"NHIC","NewHold Investment Corp.","$10.08","Evolv Technology","$1,746.7","$421.3","$1,325.4","$1,760.7","$300.0","$5.8","$4.3","$20.2","$53.1","$132.3","-25.90 %","369.80 %","162.90 %","149.20 %",87.16,33.16,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1805385/000121390021013856/ea137148ex99-2_newholdinves.htm"
"NGAC","NextGen Acq. Corp.","$10.15","Xos Trucks","$1,965.0","$515.0","$1,450.0","$1,994.5","$220.0","","$2.6","$13.8","$271.4","$1,201.6","-","430.80 %","1866.70 %","342.70 %",144.53,7.35,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1819493/000121390021010735/ea136126ex99-2_nextgenacq.htm"
"GIK","GigCapital 3, Inc.","$10.67","Lightning eMotors","$823.2","$172.5","$650.7","$878.4","$25.0","$3.2","$9.0","$63.0","$354.0","$640.0","184.50 %","600.00 %","461.90 %","80.80 %",13.94,2.48,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1802749/000119312520315441/d87498dex992.htm"
"TDAC","Trident Acq. Corp","$11.82","Lottery.com","$571.0","$45.0","$526.0","$674.9","","","$10.0","$71.0","$280.0","$571.0","-","610.00 %","294.40 %","103.90 %",9.51,2.41,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1673481/000121390021016773/ea137909ex99-1_trident.htm"
"SAII","Software Acq. Group Inc. II","$10.15","Otonomo","$1,408.0","$307.4","$1,100.6","$1,429.1","$172.5","","$0.4","$3.0","$24.0","$98.0","-","650.00 %","700.00 %","308.30 %",476.37,59.55,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1816048/000121390021005574/ea134301ex99-2_software2.htm"
"NGA","Northern Genesis Acq. Corp.","$18.03","Lion Electric","$1,949.0","$443.0","$1,506.0","$3,514.0","$200.0","$30.9","$23.4","$204.0","$668.0","$1,672.0","-24.10 %","770.90 %","227.50 %","150.30 %",17.23,5.26,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1815495/000121390020039789/ea130701ex99-3_northerngen.htm"
"PDAC","Peridot Acq. Corp","$10.75","Li-Cycle","$1,665.0","$566.0","$1,099.0","$1,789.9","$315.0","$0.0","$0.9","$12.0","$75.0","$264.0","1731.60 %","1227.90 %","525.00 %","252.00 %",149.16,23.87,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1821317/000119312521043314/d132687dex992.htm"
"ITAC","Industrial Tech Acquisitions, Inc.","$10.05","Arbe Robotics","$723.0","$150.0","$573.0","$726.6","$100.0","","$0.4","$7.8","$13.0","$76.3","-","1850.00 %","66.70 %","486.90 %",93.16,55.89,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1816696/000121390021016440/ea137987ex99-1_industrial.htm"
"GRNV","Greenvision Acq. Corp.","$10.18","Helbiz","$408.0","$72.5","$335.5","$415.3","$30.0","","$4.0","$80.0","$165.0","$290.0","-","1900.00 %","106.30 %","75.80 %",5.19,2.52,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1788841/000121390021007446/ea134831ex99-2_greenvision.htm"
"CCIV","Churchill Capital Corp. IV","$23.02","Lucid Motors","$16,000.0","$4,250.0","$11,750.0","$36,832.0","$2,500.0","$4.6","$4.0","$97.0","$2,219.0","$5,532.0","-13.40 %","2339.60 %","2187.60 %","149.30 %",379.71,16.6,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1811210/000110465921026357/tm217491d2_ex99-2.htm"
"SRAC","Stable Road Acq. Corp.","$13.97","Momentus","$1,512.0","$312.0","$1,200.0","$2,112.3","$175.0","$0.0","$0.3","$12.0","$104.0","$402.0","-","3900.00 %","766.70 %","286.50 %",176.02,20.31,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1781162/000121390020042379/ea131474ex99-1_stableroad.htm"
